STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-01,,48,34
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-02,,53,29
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-03,,45,26
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-04,,51,29
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-05,,52,26
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-06,,49,39
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-07,,50,30
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-08,,51,27
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-09,,54,40
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-10,,51,33
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-11,,63,28
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-12,,52,34
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-13,,49,28
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-14,,57,26
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-15,,61,37
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-16,,44,17
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-17,,37,12
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-18,,51,19
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-19,,48,26
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-20,,30,16
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-21,,41,12
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-22,,50,21
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-23,,52,41
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-24,,62,49
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-25,,72,59
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-26,,68,55
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-27,,66,55
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-28,,56,44
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-29,,53,38
USW00003888,"ATLANTA FULTON CO AIRPORT, GA US",2024-01-30,,61,32
