STATION,NAME,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-01,43,63,31
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-02,36,56,24
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-03,34,43,23
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-04,40,59,28
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-05,42,58,27
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-06,46,54,39
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-07,43,56,31
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-08,41,54,29
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-09,54,64,43
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-10,43,55,31
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-11,41,62,28
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-12,48,61,32
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-13,42,53,29
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-14,40,63,24
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-15,47,68,31
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-16,38,50,23
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-17,27,47,16
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-18,37,56,19
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-19,44,53,31
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-20,29,40,21
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-21,27,45,12
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-22,39,57,22
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-23,51,60,44
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-24,59,71,51
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-25,69,77,62
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-26,65,76,58
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-27,63,71,56
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-28,51,62,47
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-29,48,61,34
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-30,44,65,27
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-01-31,47,61,32
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-01,43,66,27
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-02,50,74,33
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-03,51,66,37
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-04,45,49,41
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-05,45,54,36
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-06,44,64,29
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-07,41,60,27
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-08,45,62,28
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-09,54,68,41
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-10,60,68,51
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-11,63,66,60
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-12,58,60,51
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-13,50,62,35
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-14,46,70,29
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-15,50,73,32
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-16,53,67,40
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-17,49,55,40
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-18,41,55,35
USR0000GBRE,"BRENDER GEORGIA, GA US",33.0097,-83.7397,2024-02-19,45,66,32
